gene1	gene2	Coexpression Network	Interactome Network
Pbr025632.1	Pbr008419.3	IV	III
Pbr025631.1	Pbr008420.1	III	V
Pbr025625.1	Pbr008423.1	III	V
Pbr025624.2	Pbr008424.1	IV	II
Pbr006958.1	Pbr036594.1	III	V
Pbr006951.2	Pbr036584.1	IV	V
Pbr006947.1	Pbr036581.1	IV	V
Pbr006945.1	Pbr036578.1	III	IV
Pbr009991.1	Pbr037901.1	III	V
Pbr009989.1	Pbr037903.1	III	V
Pbr009980.3	Pbr037906.3	III	IV
Pbr025740.1	Pbr020515.1	III	V
Pbr025739.1	Pbr020514.1	IV	V
Pbr025736.1	Pbr020509.1	III	V
Pbr025734.1	Pbr020507.1	III	V
Pbr030327.1	Pbr008372.1	IV	V
Pbr030323.1	Pbr008379.1	IV	V
Pbr030320.1	Pbr008386.1	IV	V
Pbr009951.1	Pbr012910.1	III	V
Pbr009953.1	Pbr012908.1	III	V
Pbr009955.1	Pbr012906.1	III	IV
Pbr009956.1	Pbr012905.1	IV	I
Pbr010028.1	Pbr020518.1	I	V
Pbr010024.2	Pbr020516.5	I	V
Pbr010023.1	Pbr042762.1	I	V
Pbr003336.1	Pbr000706.1	II	V
Pbr003315.1	Pbr000696.1	III	V
Pbr003295.1	Pbr000673.1	IV	V
Pbr030301.1	Pbr003512.1	IV	V
Pbr036597.1	Pbr003514.2	IV	V
Pbr036605.1	Pbr003518.1	III	IV
Pbr027993.1	Pbr012359.1	IV	V
Pbr038238.1	Pbr000450.1	IV	III
Pbr038243.1	Pbr000445.1	IV	V
Pbr038250.1	Pbr000431.1	III	V
Pbr038254.1	Pbr000423.1	IV	III
Pbr038280.1	Pbr000398.1	IV	V
Pbr036602.2	Pbr014591.1	III	V
Pbr036605.1	Pbr014594.1	III	V
Pbr031564.1	Pbr028302.1	III	V
Pbr031565.1	Pbr028301.1	I	V
Pbr031566.1	Pbr028300.1	IV	V
Pbr042838.1	Pbr028296.1	I	V
Pbr031569.1	Pbr028295.2	III	V
Pbr031570.1	Pbr028294.1	IV	V
Pbr031572.1	Pbr028292.1	IV	V
Pbr029390.3	Pbr028417.3	IV	V
Pbr029391.1	Pbr028416.1	IV	V
Pbr029392.1	Pbr028415.1	III	V
Pbr029393.1	Pbr028414.1	III	V
Pbr029394.1	Pbr028413.1	III	V
Pbr006944.1	Pbr011661.1	IV	V
Pbr006943.1	Pbr011659.1	IV	V
Pbr006940.1	Pbr011656.1	IV	V
Pbr006937.1	Pbr011653.1	IV	II
Pbr006930.1	Pbr011649.1	IV	V
Pbr015425.1	Pbr014207.1	III	V
Pbr015426.1	Pbr014208.1	III	IV
Pbr015432.1	Pbr014211.1	III	V
Pbr017305.1	Pbr002899.1	IV	V
Pbr017288.1	Pbr002919.1	IV	V
Pbr017285.1	Pbr002925.1	IV	V
Pbr023466.1	Pbr026464.1	III	V
Pbr023464.1	Pbr026475.1	II	V
Pbr023466.1	Pbr032307.1	IV	V
Pbr023465.1	Pbr032306.1	IV	I
Pbr023464.1	Pbr032296.1	II	V
Pbr023441.1	Pbr032273.1	III	V
Pbr023213.1	Pbr019083.1	I	V
Pbr023214.1	Pbr019084.1	IV	V
Pbr023219.2	Pbr019088.1	IV	V
Pbr014242.1	Pbr000913.1	III	IV
Pbr014244.2	Pbr000915.1	III	IV
Pbr014248.1	Pbr000917.3	III	V
Pbr014254.1	Pbr000924.1	IV	V
Pbr014256.1	Pbr000926.1	IV	V
Pbr031564.1	Pbr001616.1	IV	III
Pbr031565.1	Pbr001617.1	IV	V
Pbr031568.2	Pbr001621.1	I	V
Pbr023233.1	Pbr003553.1	III	V
Pbr023234.1	Pbr003554.1	III	V
Pbr023239.1	Pbr003555.1	IV	V
Pbr025901.1	Pbr004026.1	IV	V
Pbr025906.1	Pbr004030.1	III	V
Pbr025909.1	Pbr004031.1	III	V
Pbr025912.1	Pbr004033.1	III	V
Pbr025918.1	Pbr004038.1	IV	II
Pbr025922.1	Pbr004042.1	III	V
Pbr025901.1	Pbr004067.1	IV	V
Pbr025905.1	Pbr004064.1	IV	V
Pbr025909.1	Pbr004062.1	III	V
Pbr025911.1	Pbr004061.1	III	V
Pbr025912.1	Pbr004060.1	I	V
Pbr025922.1	Pbr004051.1	III	V
Pbr003299.1	Pbr004099.1	III	V
Pbr003296.1	Pbr004096.1	III	V
Pbr003295.1	Pbr004095.1	I	V
Pbr003294.1	Pbr004094.1	III	V
Pbr003293.1	Pbr004093.1	IV	V
Pbr003292.1	Pbr004092.1	IV	V
Pbr011544.2	Pbr015939.1	III	V
Pbr011549.1	Pbr015940.1	IV	V
Pbr011565.1	Pbr015971.1	IV	V
Pbr029576.1	Pbr022644.1	II	V
Pbr031514.1	Pbr022739.1	IV	III
Pbr031517.1	Pbr022737.1	IV	V
Pbr031518.2	Pbr022736.1	III	V
Pbr031521.1	Pbr022733.1	III	IV
Pbr003253.1	Pbr026356.1	IV	V
Pbr003254.1	Pbr026357.1	III	IV
Pbr003256.2	Pbr026358.1	III	IV
Pbr003258.1	Pbr026361.1	III	V
Pbr003261.1	Pbr026364.1	III	V
Pbr003247.1	Pbr026326.1	IV	V
Pbr003248.1	Pbr026325.1	III	V
Pbr003253.1	Pbr026323.1	IV	V
Pbr003254.1	Pbr026322.1	III	V
Pbr003256.2	Pbr026321.1	IV	V
Pbr003261.1	Pbr026315.1	IV	V
Pbr025916.1	Pbr030248.1	I	V
Pbr025917.1	Pbr030249.1	IV	V
Pbr038219.1	Pbr034366.1	IV	I
Pbr038220.3	Pbr034367.1	II	IV
Pbr038223.1	Pbr034370.1	IV	V
Pbr038225.1	Pbr034372.1	IV	V
Pbr038226.1	Pbr034373.1	IV	V
Pbr022323.1	Pbr036351.1	II	III
Pbr022322.1	Pbr036352.1	III	V
Pbr022320.1	Pbr036355.1	IV	V
Pbr022318.1	Pbr036357.1	IV	V
Pbr025711.1	Pbr036721.1	III	V
Pbr025704.1	Pbr036731.1	III	V
Pbr018929.1	Pbr038993.1	III	IV
Pbr018930.1	Pbr038992.1	IV	V
Pbr030365.1	Pbr039848.1	IV	V
Pbr030361.1	Pbr039842.1	IV	III
Pbr030358.1	Pbr039841.1	I	V
Pbr030355.1	Pbr039839.1	III	V
Pbr030350.1	Pbr039831.1	IV	V
Pbr017649.1	Pbr008225.1	III	IV
Pbr017653.1	Pbr008222.1	IV	III
Pbr017655.1	Pbr008220.1	IV	III
Pbr041768.1	Pbr014635.1	I	IV
Pbr041769.1	Pbr014634.1	III	V
Pbr041772.1	Pbr014629.1	IV	V
Pbr041773.1	Pbr014628.1	III	IV
Pbr041778.1	Pbr014625.1	IV	V
Pbr041781.1	Pbr014621.1	III	IV
Pbr041783.1	Pbr014619.1	IV	V
Pbr041784.1	Pbr014618.1	III	V
Pbr024935.1	Pbr020552.1	IV	V
Pbr024940.1	Pbr020560.1	III	V
Pbr024944.1	Pbr020564.1	I	V
Pbr017147.1	Pbr004314.1	IV	V
Pbr002007.1	Pbr035516.1	III	V
Pbr002006.1	Pbr035515.1	IV	V
Pbr007751.1	Pbr035504.1	IV	V
Pbr007750.1	Pbr035503.1	IV	V
Pbr007749.1	Pbr035502.1	IV	V
Pbr007748.1	Pbr035501.2	III	V
Pbr007746.1	Pbr035500.1	III	V
Pbr007744.1	Pbr035498.2	III	V
Pbr007740.2	Pbr035494.1	III	V
Pbr016768.1	Pbr016771.1	I	V
Pbr002633.1	Pbr007546.1	IV	V
Pbr002636.1	Pbr007544.1	III	V
Pbr027233.1	Pbr027250.1	IV	V
Pbr027241.1	Pbr027244.1	IV	III
Pbr035793.1	Pbr035772.1	II	IV
Pbr035786.1	Pbr035779.1	III	V
Pbr016458.1	Pbr026031.1	III	V
Pbr016457.1	Pbr026030.1	III	IV
Pbr016455.1	Pbr026028.1	III	V
Pbr016447.1	Pbr016405.1	IV	V
Pbr002013.2	Pbr016840.2	III	IV
Pbr002011.1	Pbr016843.1	IV	V
Pbr002010.1	Pbr016849.1	IV	V
Pbr002007.1	Pbr016850.1	III	V
Pbr007751.1	Pbr016868.1	IV	II
Pbr007750.1	Pbr016870.1	IV	V
Pbr007741.1	Pbr016872.1	III	IV
Pbr007740.2	Pbr016873.1	III	V
Pbr007738.1	Pbr016875.1	IV	V
Pbr007736.1	Pbr016877.2	IV	III
Pbr007734.1	Pbr016879.1	III	V
Pbr007731.1	Pbr016882.2	IV	I
Pbr007730.1	Pbr016883.1	IV	V
Pbr007725.1	Pbr016885.1	III	V
Pbr007718.1	Pbr016890.1	I	IV
Pbr007717.1	Pbr016893.1	III	V
Pbr007709.1	Pbr016903.1	III	V
Pbr007708.1	Pbr016904.1	IV	V
Pbr007705.1	Pbr016906.1	IV	V
Pbr007704.1	Pbr016907.1	III	V
Pbr007703.1	Pbr016908.1	IV	V
Pbr007698.1	Pbr016913.1	III	V
Pbr007691.1	Pbr016919.1	II	IV
Pbr007686.1	Pbr016922.1	IV	V
Pbr007679.1	Pbr016928.2	IV	V
Pbr007678.2	Pbr016929.1	IV	V
Pbr015405.1	Pbr010359.1	IV	V
Pbr015404.1	Pbr010360.1	III	V
Pbr015402.1	Pbr010363.1	IV	V
Pbr015400.1	Pbr010364.1	IV	V
Pbr015398.1	Pbr010366.1	III	V
Pbr015397.1	Pbr010367.1	IV	V
Pbr015391.1	Pbr010372.1	IV	V
Pbr015389.1	Pbr010373.1	IV	V
Pbr015383.1	Pbr010381.1	I	V
Pbr015380.1	Pbr010383.1	IV	V
Pbr015379.1	Pbr010384.1	I	V
Pbr015377.1	Pbr010390.1	III	V
Pbr015374.2	Pbr010393.1	IV	III
Pbr015372.1	Pbr010396.1	III	V
Pbr001304.1	Pbr010292.1	III	V
Pbr001308.2	Pbr010295.1	IV	I
Pbr001313.1	Pbr010300.1	IV	V
Pbr001317.1	Pbr010303.1	IV	V
Pbr001322.2	Pbr010307.1	IV	V
Pbr001325.1	Pbr010309.1	IV	V
Pbr001329.2	Pbr010313.1	III	IV
Pbr001331.1	Pbr010315.1	III	IV
Pbr001336.1	Pbr010324.1	IV	III
Pbr023385.1	Pbr026129.1	IV	V
Pbr023391.1	Pbr026138.1	II	III
Pbr023393.2	Pbr026139.1	III	V
Pbr023394.1	Pbr026143.1	III	IV
Pbr035798.1	Pbr034390.1	III	V
Pbr035797.1	Pbr034392.1	III	IV
Pbr035794.1	Pbr034393.1	III	I
Pbr015362.1	Pbr007640.1	IV	V
Pbr015361.1	Pbr007639.1	IV	V
Pbr015356.1	Pbr007635.1	IV	V
Pbr015351.1	Pbr007631.1	III	V
Pbr017759.1	Pbr007607.1	IV	V
Pbr017762.1	Pbr007605.2	III	V
Pbr017770.1	Pbr007595.1	III	V
Pbr017772.1	Pbr042678.1	IV	III
Pbr017773.1	Pbr007592.1	III	V
Pbr017777.1	Pbr007591.1	I	V
Pbr042744.1	Pbr007588.1	I	IV
Pbr017780.1	Pbr007585.1	IV	I
Pbr017784.5	Pbr007582.1	III	IV
Pbr017787.1	Pbr007577.1	III	II
Pbr017794.1	Pbr007571.1	IV	V
Pbr017797.1	Pbr007567.1	IV	V
Pbr017798.1	Pbr007566.2	III	V
Pbr017802.1	Pbr007556.1	IV	I
Pbr017803.1	Pbr007555.1	IV	V
Pbr017805.1	Pbr007551.1	IV	V
Pbr005473.1	Pbr016835.1	IV	V
Pbr005474.1	Pbr016833.1	I	II
Pbr005477.1	Pbr016829.1	III	V
Pbr005478.1	Pbr016828.1	IV	V
Pbr005479.1	Pbr016827.1	IV	III
Pbr005480.1	Pbr016825.1	IV	I
Pbr005484.1	Pbr016820.1	IV	V
Pbr005485.1	Pbr016819.1	III	IV
Pbr005487.1	Pbr016817.1	IV	V
Pbr005490.1	Pbr016814.1	II	V
Pbr005494.1	Pbr016810.1	IV	V
Pbr005495.1	Pbr016807.2	III	V
Pbr005496.1	Pbr016805.1	III	V
Pbr005500.1	Pbr016800.1	IV	I
Pbr005503.1	Pbr016796.1	IV	III
Pbr005529.2	Pbr016787.1	III	V
Pbr005539.1	Pbr016782.1	III	V
Pbr015392.1	Pbr010425.2	IV	V
Pbr015391.1	Pbr010424.1	IV	V
Pbr015389.1	Pbr010422.1	IV	V
Pbr015383.1	Pbr010419.1	I	V
Pbr015378.1	Pbr010413.1	III	V
Pbr015377.1	Pbr010411.1	III	V
Pbr015374.2	Pbr010408.1	IV	V
Pbr015372.1	Pbr010405.1	III	V
Pbr035495.1	Pbr016872.1	III	IV
Pbr035496.1	Pbr016871.1	III	IV
Pbr035507.1	Pbr016860.1	III	IV
Pbr035510.1	Pbr016855.1	III	V
Pbr035512.1	Pbr016854.1	IV	V
Pbr035515.1	Pbr016851.1	IV	V
Pbr038528.1	Pbr031178.1	III	V
Pbr038535.1	Pbr031175.1	III	V
Pbr038543.3	Pbr031165.1	IV	V
Pbr038544.1	Pbr031164.1	IV	V
Pbr035839.1	Pbr003391.1	IV	V
Pbr035837.1	Pbr003388.1	III	V
Pbr035835.1	Pbr003386.1	III	V
Pbr016741.1	Pbr010347.1	III	V
Pbr016743.1	Pbr010344.1	IV	V
Pbr016768.1	Pbr010339.1	I	V
Pbr024258.1	Pbr027105.1	I	V
Pbr024255.1	Pbr027103.1	III	IV
Pbr035713.1	Pbr010331.1	III	V
Pbr035715.1	Pbr010329.1	III	V
Pbr035718.1	Pbr010324.1	IV	V
Pbr016404.1	Pbr000874.1	III	V
Pbr016403.1	Pbr000873.1	II	V
Pbr016402.1	Pbr000872.1	III	V
Pbr016399.1	Pbr000869.1	IV	V
Pbr016397.1	Pbr000866.1	IV	III
Pbr016396.1	Pbr000865.1	III	V
Pbr016391.1	Pbr000859.1	IV	V
Pbr024260.1	Pbr010573.1	IV	V
Pbr024259.2	Pbr010574.1	III	V
Pbr024256.1	Pbr010576.1	III	V
Pbr024254.1	Pbr010578.1	IV	V
Pbr017665.1	Pbr020851.1	III	V
Pbr017682.1	Pbr020830.1	IV	V
Pbr017688.1	Pbr020828.1	III	V
Pbr028473.1	Pbr013698.1	IV	V
Pbr042827.1	Pbr013699.1	IV	V
Pbr028476.1	Pbr013701.1	IV	V
Pbr028477.1	Pbr013702.1	IV	V
Pbr001397.1	Pbr013662.1	III	V
Pbr001399.1	Pbr013673.1	III	IV
Pbr001405.1	Pbr013678.1	III	V
Pbr001419.4	Pbr001096.1	III	IV
Pbr028471.1	Pbr013693.1	IV	V
Pbr028473.1	Pbr013691.1	III	V
Pbr042827.1	Pbr013689.1	III	V
Pbr028475.10	Pbr013688.1	IV	V
Pbr028477.1	Pbr013686.1	III	V
Pbr028480.2	Pbr013684.1	III	IV
Pbr028482.1	Pbr013683.1	IV	V
Pbr028484.1	Pbr013681.1	IV	V
Pbr028486.1	Pbr013679.1	IV	V
Pbr028487.1	Pbr013678.1	III	V
Pbr028488.1	Pbr013677.1	III	IV
Pbr028490.1	Pbr013674.1	III	IV
Pbr028494.1	Pbr013665.1	IV	V
Pbr028497.1	Pbr013663.1	IV	V
Pbr028498.1	Pbr013662.1	IV	V
Pbr028500.1	Pbr013659.1	III	V
Pbr028501.1	Pbr013658.1	I	III
Pbr028502.1	Pbr013657.1	IV	V
Pbr028506.1	Pbr013655.2	II	V
Pbr028507.1	Pbr013654.1	IV	V
Pbr028510.1	Pbr013649.1	III	V
Pbr028513.1	Pbr013643.1	IV	V
Pbr028515.1	Pbr013642.1	IV	V
Pbr017142.1	Pbr011796.1	III	V
Pbr026051.1	Pbr006008.1	III	V
Pbr026052.1	Pbr006006.1	IV	V
Pbr026063.1	Pbr005999.1	IV	V
Pbr026066.2	Pbr005998.3	III	V
Pbr026069.1	Pbr005995.1	III	V
Pbr026070.1	Pbr005994.1	III	IV
Pbr026071.1	Pbr005993.2	III	V
Pbr026078.1	Pbr005984.1	III	V
Pbr026079.1	Pbr005983.1	III	V
Pbr008259.1	Pbr032514.1	IV	V
Pbr008258.1	Pbr032515.1	IV	V
Pbr008257.1	Pbr032516.1	IV	V
Pbr035970.1	Pbr011340.1	IV	V
Pbr035962.1	Pbr011352.1	II	V
Pbr035944.1	Pbr011360.1	III	V
Pbr035943.1	Pbr011361.1	III	V
Pbr035941.2	Pbr011362.1	IV	I
Pbr035939.1	Pbr011363.1	IV	III
Pbr035914.1	Pbr011379.1	IV	V
Pbr035908.1	Pbr011389.1	III	V
Pbr035906.1	Pbr011391.1	IV	V
Pbr035890.1	Pbr011397.1	IV	III
Pbr035873.1	Pbr011406.1	IV	V
Pbr035857.1	Pbr019225.1	IV	III
Pbr035856.1	Pbr019227.1	III	IV
Pbr035854.1	Pbr019229.1	IV	V
Pbr035847.1	Pbr019233.1	IV	V
Pbr035844.1	Pbr019235.1	III	V
Pbr035838.1	Pbr019240.1	III	V
Pbr035837.1	Pbr019241.1	IV	V
Pbr035835.1	Pbr019243.1	I	V
Pbr035834.1	Pbr019244.1	III	IV
Pbr035829.1	Pbr019247.1	IV	V
Pbr035828.1	Pbr019249.1	IV	V
Pbr035826.1	Pbr019251.1	III	V
Pbr035962.1	Pbr042315.1	I	IV
Pbr035961.1	Pbr042317.1	III	V
Pbr035926.1	Pbr042350.1	III	V
Pbr035924.1	Pbr042355.1	III	IV
Pbr035922.1	Pbr042356.1	III	V
Pbr014621.1	Pbr013125.1	III	IV
Pbr014620.1	Pbr013124.1	III	V
Pbr014616.1	Pbr013115.1	IV	V
Pbr028225.1	Pbr013107.1	III	IV
Pbr035859.1	Pbr000643.1	III	IV
Pbr035839.1	Pbr000660.1	IV	V
Pbr035834.1	Pbr042646.1	III	IV
Pbr035807.1	Pbr000697.2	III	V
Pbr017660.1	Pbr033998.1	IV	V
Pbr017668.1	Pbr034003.1	III	V
Pbr005488.1	Pbr004804.1	III	V
Pbr017787.1	Pbr003508.1	IV	V
Pbr017801.1	Pbr003474.1	III	V
Pbr017803.1	Pbr003464.1	IV	V
Pbr023697.1	Pbr000591.1	IV	V
Pbr023700.1	Pbr000594.1	III	V
Pbr023708.1	Pbr000602.1	IV	V
Pbr023709.1	Pbr000603.1	II	V
Pbr020543.2	Pbr018986.1	IV	V
Pbr020551.2	Pbr019005.1	IV	V
Pbr008299.1	Pbr033909.1	IV	V
Pbr008291.1	Pbr033934.1	IV	V
Pbr008290.1	Pbr033935.1	IV	V
Pbr008289.1	Pbr033937.1	IV	V
Pbr017764.1	Pbr040451.1	III	V
Pbr017765.1	Pbr040450.1	IV	V
Pbr017768.1	Pbr040447.1	III	IV
Pbr017769.1	Pbr040442.1	III	IV
Pbr008355.1	Pbr008395.1	IV	V
Pbr008351.1	Pbr008406.1	IV	V
Pbr008346.1	Pbr008413.1	III	V
Pbr008345.1	Pbr008414.1	III	V
Pbr008334.1	Pbr008424.1	IV	V
Pbr017130.1	Pbr006541.1	III	IV
Pbr017127.1	Pbr006544.1	III	V
Pbr017124.1	Pbr006547.1	III	V
Pbr017122.3	Pbr006549.1	IV	V
Pbr017113.2	Pbr006558.1	IV	V
Pbr017112.2	Pbr006562.1	III	IV
Pbr017110.1	Pbr006567.1	IV	V
Pbr017109.1	Pbr006568.1	IV	V
Pbr017108.1	Pbr006569.1	III	V
Pbr017104.1	Pbr006571.1	IV	V
Pbr017103.1	Pbr006572.1	III	V
Pbr017102.1	Pbr006574.1	III	IV
Pbr017096.1	Pbr006576.1	IV	V
Pbr017095.1	Pbr006577.1	III	V
Pbr017090.1	Pbr006580.1	IV	V
Pbr028853.1	Pbr019449.1	III	V
Pbr028854.1	Pbr019450.1	IV	III
Pbr028855.1	Pbr019451.1	III	I
Pbr028858.1	Pbr019454.1	IV	V
Pbr028860.1	Pbr019456.1	III	II
Pbr028866.1	Pbr021626.1	IV	V
Pbr028871.1	Pbr021628.2	III	V
Pbr028872.1	Pbr021629.1	IV	V
Pbr028874.1	Pbr021632.1	IV	V
Pbr028877.1	Pbr021634.1	IV	III
Pbr028222.1	Pbr019415.1	III	IV
Pbr028226.1	Pbr019418.1	IV	V
Pbr028229.1	Pbr019420.1	III	V
Pbr028235.1	Pbr019421.1	III	V
Pbr028240.2	Pbr019426.1	III	IV
Pbr028241.1	Pbr019428.1	III	IV
Pbr028248.1	Pbr019429.1	IV	V
Pbr028253.1	Pbr019431.1	IV	V
Pbr028257.2	Pbr019436.1	III	V
Pbr041580.1	Pbr028584.1	IV	V
Pbr023613.1	Pbr028577.1	II	V
Pbr023615.1	Pbr028576.1	IV	V
Pbr023618.1	Pbr028566.1	III	I
Pbr023620.1	Pbr028565.1	IV	I
Pbr023629.1	Pbr028559.1	III	V
Pbr023651.1	Pbr036629.1	III	IV
Pbr035942.1	Pbr012409.1	IV	V
Pbr035941.2	Pbr012408.1	IV	V
Pbr035940.1	Pbr012407.1	III	V
Pbr035937.1	Pbr012405.1	II	V
Pbr035935.1	Pbr012404.1	IV	V
Pbr035934.1	Pbr012403.1	IV	III
Pbr035929.1	Pbr012398.1	I	V
Pbr035909.1	Pbr022589.1	IV	V
Pbr035906.1	Pbr022596.1	III	V
Pbr035900.1	Pbr022612.1	I	V
Pbr035895.1	Pbr039246.1	IV	V
Pbr035891.1	Pbr039255.1	I	V
Pbr035890.1	Pbr039256.1	III	II
Pbr016454.1	Pbr028050.1	IV	V
Pbr016453.1	Pbr028052.1	III	IV
Pbr016452.1	Pbr028053.1	IV	III
Pbr016450.1	Pbr028054.1	IV	V
Pbr028514.1	Pbr006663.1	IV	V
Pbr028521.1	Pbr006673.1	IV	V
Pbr008332.1	Pbr021135.1	I	IV
Pbr008330.1	Pbr021137.1	III	I
Pbr008329.2	Pbr021139.3	IV	V
Pbr035974.1	Pbr012350.1	IV	V
Pbr035970.1	Pbr012351.1	III	V
Pbr035969.1	Pbr012352.1	III	V
Pbr035962.1	Pbr012358.1	I	IV
Pbr035961.1	Pbr012359.1	IV	V
Pbr035959.1	Pbr012360.2	IV	V
Pbr035952.1	Pbr012368.1	III	V
Pbr035949.1	Pbr012370.1	III	V
Pbr035948.1	Pbr012373.1	III	V
Pbr035941.2	Pbr012385.1	IV	V
Pbr035940.1	Pbr012386.1	III	V
Pbr035937.1	Pbr012388.1	II	V
Pbr035934.1	Pbr012390.1	IV	V
Pbr026027.1	Pbr028050.1	III	V
Pbr026028.1	Pbr028049.1	III	IV
Pbr026030.1	Pbr028047.1	IV	V
Pbr026031.1	Pbr028046.1	IV	V
Pbr026040.1	Pbr006727.1	III	IV
Pbr026045.1	Pbr006722.1	III	IV
Pbr026046.1	Pbr006717.2	III	V
Pbr026051.1	Pbr006716.1	IV	V
Pbr026061.1	Pbr006707.1	III	V
Pbr026080.1	Pbr006685.1	III	V
Pbr016429.1	Pbr028909.1	IV	II
Pbr016428.1	Pbr028910.1	IV	V
Pbr016426.1	Pbr028912.1	III	V
Pbr016424.1	Pbr028915.1	III	IV
Pbr016421.1	Pbr028918.1	I	V
Pbr016416.2	Pbr028928.1	III	IV
Pbr016414.1	Pbr028930.1	IV	III
Pbr016410.1	Pbr028933.1	III	V
Pbr016407.1	Pbr028936.1	IV	V
Pbr016406.1	Pbr028937.1	IV	V
Pbr017655.1	Pbr020963.1	I	V
Pbr017659.1	Pbr020960.2	III	V
Pbr017668.1	Pbr020950.1	IV	V
Pbr017670.1	Pbr020947.1	IV	V
Pbr023641.1	Pbr036638.1	III	V
Pbr023642.1	Pbr036637.1	IV	V
Pbr023643.1	Pbr036636.1	IV	V
Pbr023647.1	Pbr036631.1	IV	V
Pbr023652.1	Pbr036628.1	III	IV
Pbr023655.1	Pbr036625.1	IV	II
Pbr023656.1	Pbr036624.1	III	IV
Pbr023657.1	Pbr036622.4	III	V
Pbr023659.1	Pbr036620.1	III	V
Pbr023660.1	Pbr036619.1	III	IV
Pbr023664.1	Pbr036617.1	IV	V
Pbr023665.1	Pbr036615.1	III	V
Pbr042888.1	Pbr022626.2	III	IV
Pbr035909.1	Pbr022622.1	III	V
Pbr035908.1	Pbr022621.1	IV	III
Pbr035906.1	Pbr022617.1	III	V
Pbr035888.1	Pbr040934.1	IV	V
Pbr008245.1	Pbr020980.1	IV	V
Pbr008222.1	Pbr020964.2	III	V
Pbr008220.1	Pbr020963.1	IV	V
Pbr041573.1	Pbr028577.1	IV	V
Pbr041575.1	Pbr028581.1	III	IV
Pbr041581.1	Pbr028586.1	I	III
Pbr041585.4	Pbr028588.1	IV	V
Pbr041586.1	Pbr028589.1	III	V
Pbr041587.2	Pbr028590.1	III	V
Pbr041589.1	Pbr028592.1	IV	V
Pbr041595.1	Pbr028597.3	IV	V
Pbr041597.1	Pbr028598.1	III	V
Pbr017677.1	Pbr029539.1	III	V
Pbr017682.1	Pbr029529.1	III	V
Pbr017686.1	Pbr029526.1	III	V
Pbr017688.1	Pbr029523.1	IV	III
Pbr037919.2	Pbr021663.1	IV	V
Pbr042894.1	Pbr021661.1	III	V
Pbr037916.1	Pbr021658.1	III	IV
Pbr037913.1	Pbr021654.1	III	V
Pbr037911.1	Pbr042770.1	IV	V
Pbr037910.1	Pbr021650.1	IV	V
Pbr035791.1	Pbr023906.1	IV	V
Pbr035788.1	Pbr023902.1	III	V
Pbr035787.1	Pbr023899.1	III	V
Pbr035786.1	Pbr023898.1	IV	V
Pbr035785.1	Pbr042787.1	IV	V
Pbr008317.2	Pbr034562.1	III	IV
Pbr008307.1	Pbr034568.1	III	V
Pbr008298.1	Pbr034577.1	III	IV
Pbr008297.1	Pbr034581.1	IV	V
Pbr008295.1	Pbr034584.1	IV	III
Pbr008294.2	Pbr034585.1	IV	V
Pbr008293.1	Pbr034586.1	III	V
Pbr004333.1	Pbr025311.1	IV	V
Pbr004345.1	Pbr025301.2	IV	V
Pbr004355.1	Pbr025299.1	III	IV
Pbr004359.1	Pbr025288.1	III	V
Pbr004361.1	Pbr025285.1	III	IV
Pbr004364.1	Pbr025283.1	III	IV
Pbr008363.1	Pbr016460.1	III	IV
Pbr008355.1	Pbr016465.1	III	V
Pbr008354.1	Pbr016466.1	IV	V
Pbr004319.1	Pbr015046.1	III	IV
Pbr004321.1	Pbr015047.1	IV	V
Pbr004324.1	Pbr015050.1	III	IV
Pbr004329.2	Pbr015054.1	IV	III
Pbr004332.1	Pbr015057.3	IV	V
Pbr004333.1	Pbr015058.1	III	V
Pbr004340.1	Pbr015067.1	III	IV
Pbr004341.1	Pbr015068.1	IV	V
Pbr004343.1	Pbr015071.1	IV	V
Pbr017141.1	Pbr015050.1	III	V
Pbr001368.1	Pbr002849.1	IV	V
Pbr001372.1	Pbr002853.1	I	III
Pbr001376.1	Pbr002865.1	III	V
Pbr001380.1	Pbr002867.1	III	V
Pbr001384.1	Pbr002879.1	I	V
Pbr001397.1	Pbr002889.2	III	V
Pbr001398.1	Pbr002890.1	III	IV
Pbr001404.1	Pbr002898.1	IV	III
Pbr001407.1	Pbr002899.1	III	V
Pbr001409.1	Pbr002901.1	IV	III
Pbr001414.1	Pbr002905.1	I	V
Pbr001419.4	Pbr002908.1	IV	V
Pbr001420.1	Pbr002909.1	III	IV
Pbr001426.1	Pbr002915.1	IV	V
Pbr001428.1	Pbr002917.2	IV	V
Pbr001429.1	Pbr002919.1	IV	III
Pbr001430.1	Pbr002920.1	IV	V
Pbr001431.1	Pbr002921.1	IV	V
Pbr008285.1	Pbr032260.3	III	V
Pbr008280.1	Pbr032264.1	III	V
Pbr008279.1	Pbr032265.1	III	V
Pbr008277.1	Pbr032267.1	IV	V
Pbr008276.1	Pbr032268.1	IV	III
Pbr008255.1	Pbr032279.2	IV	III
Pbr008248.1	Pbr032292.1	IV	V
Pbr008243.1	Pbr032305.1	III	IV
Pbr014647.1	Pbr002915.1	III	V
Pbr014621.1	Pbr002936.1	III	V
Pbr008255.1	Pbr026491.1	III	V
Pbr008253.1	Pbr026485.1	IV	III
Pbr008253.1	Pbr032212.1	IV	I
Pbr008252.1	Pbr032213.1	III	V
Pbr008248.1	Pbr032219.1	IV	I
